inTable$redshift,u,g,r,i,z
0.07374429,20.67835,18.70525,17.83665,17.40358,17.16092
0.08612102,20.00803,18.13668,17.19899,16.74712,16.40159
0.09266601,19.05972,17.14893,16.22381,15.78093,15.44089
0.0538431,19.34816,18.26509,17.92691,17.66378,17.55516
0.03339636,18.66559,17.45189,17.00226,16.71642,16.48434
0.07524802,19.16384,17.27354,16.33265,15.92504,15.60081
0.07123379,18.78016,16.98872,16.04776,15.50512,15.07355
0.03184373,19.11063,17.70331,17.27288,17.02624,16.85442
0.05782985,17.49044,16.08824,15.39054,14.99872,14.72207
0.02213635,19.54609,17.95526,17.29648,16.97473,16.72512
0.0409435,18.94159,17.92079,17.63741,17.38549,17.20121
0.05958691,20.16927,18.25139,17.43911,16.99999,16.70879
0.08225319,18.61535,17.13748,16.31006,15.85524,15.52079
0.07011708,19.59251,17.66148,16.77425,16.36242,16.04751
0.05458308,17.93492,16.07408,15.18969,14.78368,14.45368
0.04958147,18.92709,17.74487,17.4603,17.23751,17.09651
0.08196466,19.70337,17.94751,17.03715,16.56684,16.19504
0.01744276,15.63135,14.81755,14.44821,14.32247,14.17024
0.06752171,17.53754,15.84965,15.05046,14.59708,14.33178
0.05108006,18.50655,16.89701,16.13033,15.75366,15.43037
0.08647047,17.80317,16.5462,16.03675,15.66791,15.4635
0.07656159,18.49294,17.52068,17.17111,16.88425,16.77427
0.0843443,19.36921,17.99994,17.33537,16.90766,16.65635
0.06710407,19.12752,17.87774,17.35115,16.97814,16.7185
0.06881712,19.69779,18.11566,17.34455,16.88863,16.50203
0.09063318,19.81273,19.03487,18.78424,18.38162,18.5176
0.08611073,19.43737,17.60657,16.6891,16.28637,15.93865
0.09036513,18.55262,16.62019,15.69708,15.26918,14.92537
0.06712486,18.77246,17.72853,17.33686,17.02333,16.91455
0.04175911,18.48827,16.68383,15.91733,15.54986,15.27528
0.0626314,19.11503,17.47371,16.8774,16.57819,16.3588
0.08883348,19.59105,17.91962,17.1083,16.70275,16.41064
0.09288986,19.5255,17.55219,16.59594,16.19485,15.85779
0.07806553,17.90581,15.90874,14.95278,14.52181,14.19353
0.09349681,20.30705,18.39688,17.49812,17.08525,16.75944
0.06610639,19.65822,17.7709,16.88659,16.46499,16.14238
0.06062112,21.25789,19.90675,19.34731,19.03716,18.94974
0.0939068,20.43892,18.26498,17.25195,16.80786,16.47883
0.05683488,19.20889,17.23898,16.29008,15.85176,15.4939
0.03135213,19.41642,18.15217,17.64695,17.36644,17.22413
0.07846589,18.13811,16.94866,16.52434,16.19786,16.05244
0.0668918,18.18967,17.26834,16.85892,16.49871,16.3827
0.07729129,19.51318,17.78096,16.95204,16.60742,16.30751
0.01348658,22.90584,19.23022,18.83022,18.54197,20.14139
0.09141588,19.22152,18.16212,17.56621,17.19457,16.96022
0.02536404,16.7228,14.85589,14.03194,13.63068,13.36238
0.04291714,16.92874,15.95061,15.59628,15.33671,15.21037
0.05109335,19.16848,17.51494,16.61926,16.19376,15.86325
0.04173179,19.27931,18.05908,17.56902,17.33315,17.16426
0.02711554,19.66241,17.55847,16.72526,16.28059,15.92287
0.07561357,18.6803,17.50637,16.96965,16.62804,16.45527
0.07314637,18.87001,17.87089,17.51362,17.24918,17.23504
0.06720651,17.43995,16.10542,15.36713,14.96073,14.64253
0.0920555,19.51939,18.25525,17.62103,17.25832,17.04218
0.07333793,19.63589,18.28262,17.63736,17.26984,17.01997
0.01195236,19.88547,18.41364,17.70915,17.39023,17.13495
0.07638265,19.4152,17.82687,17.13146,16.70692,16.43815
0.09318025,19.08239,17.81729,17.16854,16.76525,16.51536
0.09025501,19.49166,17.54849,16.61171,16.21449,15.87131
0.06911596,19.18416,17.24714,16.39679,15.99641,15.66972
0.03341235,17.11305,15.23198,14.37554,13.97812,13.64087
0.0770219,19.62674,17.68662,16.75424,16.33867,16.01409
0.07201939,18.51667,17.36082,16.80529,16.42152,16.21617
0.04966193,18.9069,17.33245,16.53802,16.09326,15.71278
0.04000634,17.81946,16.75369,16.35417,16.10222,15.91023
0.08513153,20.17586,18.11317,17.14197,16.6989,16.32815
0.0940242,20.31156,18.60045,17.68607,17.26048,16.93358
